part_name,occurrences
27150_000_C01_1_HOUSING_PSA__20_PIN__FLEX_CONNECTOR,1
27151_000_B02_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__20_PIN,4
27483_000_A06_1_M5_BLOWER_HARNESS__P2,9
27483_000_A06_1_M5_BLOWER_HARNESS__P2_1,9
27549_002_C01_1_CLOSEOUT_COVER__BATTERY__DROID__P2,1
27586_000_B02_1_STIFFENER__14_PIN__FLEX_CONNECTOR,2
27587_000_C01_1_HOUSING__14_PIN__FLEX_CONNECTOR,1
27589_000_C01_1_HOUSING_PSA__14_PIN__FLEX_CONNECTOR,1
27591_000_B02_1_GASKET__14_PIN__FLEX_CONNECTOR,2
27592_000_B02_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__14_PIN,4
27855_000_B02_1_STIFFENER__10_PIN__FLEX_CONNECTOR,2
27861_000_C01_1_HOUSING__10_PIN__FLEX_CONNECTOR,1
27862_000_C01_1_HOUSING_PSA__10_PIN__FLEX_CONNECTOR,2
27863_000_B02_1_GASKET__10_PIN__FLEX_CONNECTOR,2
27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN,5
27865_000_B02_1_STIFFENER__12_PIN__FLEX_CONNECTOR,2
27866_000_C01_1_HOUSING__12_PIN__FLEX_CONNECTOR,1
27867_000_C01_1_HOUSING_PSA__12_PIN__FLEX_CONNECTOR,1
27868_000_B02_1_GASKET__12_PIN__FLEX_CONNECTOR,2
27869_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__12_PIN,4
27882_001_C01_1_PCB__DAUGHTERBOARD__DROID__P2,4
27883_001_C01_1_PCBA__DAUGHTERBOARD__DROID__P2,5
27886_000_B02_1_STIFFENER__22_PIN__FLEX_CONNECTOR,2
27887_000_C01_1_HOUSING__22_PIN__FLEX_CONNECTOR,1
27888_000_C01_1_HOUSING_PSA__22_PIN__FLEX_CONNECTOR,1
27889_000_B02_1_GASKET__22_PIN__FLEX_CONNECTOR,2
27890_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__22_PIN,4
27928_001_B02_1_SCREW__M2_5_X_4_BHCS,2
27928_001_B02_1_SCREW__M2_5_X_4_BHCS_1,2
27928_001_B02_1_SCREW__M2_5_X_4_BHCS_2,2
27928_001_B02_1_SCREW__M2_5_X_4_BHCS_3,2
28256_000_A01_1_M2_5_X_3MM__SS__BUTTON_HEAD__COTS,1
28256_000_A01_1_M2_5_X_3MM__SS__BUTTON_HEAD__COTS_1,1
28312_001_C03_1_IMPELLER__BLOWER__P2,5
28463_001_E01_1_END_CAP__PARALAND_ASSY__DROID__P2,2
28504_000_A01_1_COMPRESSION_LIMITER__M2,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_1,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_10,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_11,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_2,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_3,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_4,1
